"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"1",1546.35563999979,1030.99917306501,2747.22902841122,1536.97350062964,1644.63875966176,1379.27160926438,1971.41841056903,2332.44040431546,1277.41834299413,1427.0177221666,1381.96983186705,1035.88383747178,2944.66922872935,1226.33625222969,659.813231936558,1689.33201327184,1338.62712075054,903.639947722274,1537.6049732168,1428.19769968476,3694.83590605858,-1,2831.15562947714,190.602929283803,566.710146024418,458.986567284104,1669.18478174184,3456.95121416363,571.210048013684,3061.8388437809,403.712864067519,879.829785010067,202.228490598003,835.498316951621,495.856523304781,637.373009902856,1790.36250814356,3741.01138636483,1359.53037634641
"2",1030.99917306501,688.366328231362,1840.85827353758,1031.08112590039,1092.82316403686,919.620219611733,1322.41164656903,1564.14964442418,850.120391782046,953.845208858597,926.878664255074,691.300451058732,1973.26731444372,819.513215643987,437.76109458185,1130.78141253938,889.684846336695,606.425882192328,1025.75750615691,957.417050283167,2482.2041833427,-1,1908.47671054295,125.569795622464,379.110723962757,303.379033798497,1121.62448263237,2322.82558717007,381.801020060462,2043.5216662596,267.369659825366,589.350705135271,132.590059979846,554.301240238874,328.257059895657,421.561349157616,1202.72355793443,2521.48031611879,910.591411640592
"3",2747.22902841122,1840.85827353758,4977.83316983201,2795.54059012603,2879.34220217484,2449.7979373252,3585.83339784791,4237.71168245658,2252.113613731,2560.6866408998,2512.13306417657,1845.92199174996,5336.91663750736,2197.7755276839,1147.34124371522,3048.12881149419,2345.69651871188,1645.42128417314,2737.87003644617,2590.84626035659,6756.99422332552,-1,5238.16158465895,320.287404823201,1019.48156172595,783.139292902057,3054.59580877398,6323.7149885281,1024.37100080458,5461.04482373978,696.241084134009,1590.18665897421,331.106346029148,1453.76159950947,853.10723335242,1092.07245104177,3272.52185761868,6919.10103424294,2458.87666550097
"4",1536.97350062964,1031.08112590039,2795.54059012603,1571.44867197326,1606.81480161354,1370.64647006675,2015.46580165666,2381.39002013746,1258.20416046839,1435.39691892165,1411.83540013067,1033.55449298663,2997.31114597626,1231.79720306214,639.534435297253,1710.47295219098,1309.24704962235,925.216184206486,1532.42655040442,1455.57435517462,3802.27575181314,-1,2955.42630183593,177.587924374591,571.879466989896,435.353095673512,1719.21631411614,3559.14872324516,574.245157718441,3057.73526229401,387.569119956886,892.949249010196,182.921078570804,810.241577960475,474.759437592217,607.322684449967,1841.53345246805,3903.39253662922,1380.46853595774
"5",1644.63875966176,1092.82316403686,2879.34220217484,1606.81480161354,1769.24064263909,1467.49868241364,2060.59251672139,2440.10333365002,1366.54188187701,1506.51882257946,1445.16208603285,1099.68343456652,3085.64555308328,1296.13786452258,713.596116819097,1776.1937140357,1439.10856687074,944.012881869909,1632.63923533168,1495.93736984215,3847.10375225077,-1,2923.90679834559,211.919457758649,597.349838853423,504.469633799869,1737.25539080872,3599.43058902402,603.453658047271,3247.38766994257,439.450179930839,924.371521788097,229.905188215964,902.755090765227,540.979452911133,697.638515356099,1865.12044736859,3864.38171120386,1426.95113817543
"6",1379.27160926438,919.620219611733,2449.7979373252,1370.64647006675,1467.49868241364,1230.31181049077,1757.98384798727,2079.96535686415,1139.56979266474,1272.6655997752,1232.36501809415,924.017024993903,2625.84126461969,1093.76664422067,588.866526518601,1506.51882234945,1194.4325369954,805.868725959208,1371.43306042417,1273.64862336741,3294.83612434343,-1,2524.8933510004,170.347387718704,505.444948251304,410.010776952852,1488.51360547383,3082.89049820746,509.466908045349,2730.94549305236,360.401338584276,784.721990466231,181.003122118754,745.560276906887,442.734009124856,569.169048817144,1596.62012343224,3336.27208439584,1212.38544566631
"7",1971.41841056903,1322.41164656903,3585.83339784791,2015.46580165666,2060.59251672139,1757.98384798727,2585.1115332307,3054.42758861169,1613.75776127246,1841.15039780911,1810.85264802514,1325.55727246659,3844.66889052527,1579.90301996668,820.056715961098,2193.98338604222,1678.9906452748,1186.57739808301,1965.58330077519,1866.89784394242,4876.62123145486,-1,3789.60232680285,227.519859810089,733.444708704301,557.922396525845,2204.89709806586,4564.44354706896,736.498034376681,3921.97495817921,496.882058283347,1145.13733374853,234.150563442046,1039.07999713401,608.604699274509,778.485381934395,2361.71362160751,5005.26070538943,1770.67978838316
"8",2332.44040431546,1564.14964442418,4237.71168245658,2381.39002013746,2440.10333365002,2079.96535686415,3054.42758861169,3609.18025134802,1910.1502483447,2177.0616065083,2139.68153660904,1568.0534747058,4543.53356135428,1868.30230198986,971.497382215645,2593.45559382953,1988.11473141431,1401.93181883261,2325.23334538479,2206.16743209122,5760.26692295524,-1,4473.55211151168,270.130900356688,867.148831008488,661.763085974209,2604.34179457843,5391.49642300523,870.911055747716,4639.15850889589,588.946939921633,1353.54580697299,278.492260945167,1230.8994371632,721.484957771543,923.113268490965,2789.75752295937,5908.70872701094,2092.8000786242
"9",1277.41834299413,850.120391782046,2252.113613731,1258.20416046839,1366.54188187701,1139.56979266474,1613.75776127246,1910.1502483447,1058.43086472282,1174.27683092062,1131.52244526401,854.819947853051,2413.72260549784,1009.69506423739,549.728758729849,1387.16349621392,1111.89574063895,739.436277954708,1269.0888213817,1170.34413082172,3018.25687846703,-1,2302.49601136453,161.008519781057,465.920216180956,385.446909969659,1363.2021814258,2823.78368044215,470.18356709823,2525.58756384309,337.457528394805,722.074463174813,172.686595481201,695.834572387419,414.926637582546,534.221308081317,1462.86126079941,3042.8403957165,1115.32899124543
"10",1427.0177221666,953.845208858597,2560.6866408998,1435.39691892165,1506.51882257946,1272.6655997752,1841.15039780911,2177.0616065083,1174.27683092062,1323.57423219118,1290.25004231266,957.402715762205,2745.06863740455,1136.7026988469,602.332609462123,1571.2592215929,1226.75978884695,844.40262041907,1420.5654305164,1332.01686028296,3460.21773395632,-1,2667.25490915927,171.031625499464,526.304869749536,414.997838941802,1563.73426597231,3237.90827956159,529.642094332619,2831.15568752222,367.019374109461,819.045900564313,179.10348868394,762.966683773108,450.233519940277,577.530373762276,1676.25820965446,3523.78683163597,1266.03360678149
"11",1381.96983186705,926.878664255074,2512.13306417657,1411.83540013067,1445.16208603285,1232.36501809415,1810.85264802514,2139.68153660904,1131.52244526401,1290.25004231266,1268.51804098316,929.142031397276,2693.44266411544,1107.2228993697,575.258659840979,1537.24718104993,1177.4982890939,831.179250011358,1377.78199739799,1307.86545117732,3415.49739996368,-1,2653.30958765819,159.781657442155,513.958336906851,391.614446213824,1544.25044356569,3196.86437406887,516.145174684316,2748.97611214218,348.652755062851,802.343216536244,164.5741905862,728.879667637943,427.076112087885,546.358633012808,1654.14707054321,3504.48101135934,1240.56370344426
"12",1035.88383747178,691.300451058732,1845.92199174996,1033.55449298663,1099.68343456652,924.017024993903,1325.55727246659,1568.0534747058,854.819947853051,957.402715762205,929.142031397276,694.38933385177,1978.64225415438,822.69007483687,440.825011402429,1134.37406986293,895.189706159849,607.819403721397,1030.38532147779,959.960837877665,2486.80853335937,-1,1909.90654489716,126.919030758355,380.440377667204,306.150511890598,1123.6399058142,2327.11763294196,383.257758619221,2052.41469423997,269.476409562919,591.152585616424,134.410555509548,558.120869238715,330.938744935468,425.191689120171,1205.03274870844,2523.44425373079,913.269841007392
"13",2944.66922872935,1973.26731444372,5336.91663750736,2997.31114597626,3085.64555308328,2625.84126461969,3844.66889052527,4543.53356135428,2413.72260549784,2745.06863740455,2693.44266411544,1978.64225415438,5721.92434611742,2355.97549678656,1229.42843883375,3267.833952291,2513.79337881649,1764.1968960688,2934.72113143574,2777.75850081391,7245.17190712786,-1,5617.28400775353,343.022852469402,1092.91103882878,838.921029518138,3275.29825596549,6780.56332102527,1098.11231630827,5853.80540480163,745.962551960154,1704.80976079948,354.461111829123,1557.80225483227,913.994981668121,1169.94562254666,3508.91187977057,7419.87012018946,2636.18515778955
"14",1226.33625222969,819.513215643987,2197.7755276839,1231.79720306214,1296.13786452258,1093.76664422067,1579.90301996668,1868.30230198986,1009.69506423739,1136.7026988469,1107.2228993697,822.69007483687,2355.97549678656,976.349888084593,518.505133853318,1348.94943494383,1055.38434737392,724.61047702291,1220.61741305521,1143.2436325039,2968.41495651415,-1,2286.99356981782,147.693717418419,451.973560596973,357.910937171289,1341.46927892107,2777.84641451884,454.919735771886,2432.45136931687,316.163239625249,703.208923950845,155.089665098724,656.673105513685,387.954683051957,497.816791618523,1438.13257825672,3021.41362453152,1086.75476153122
"15",659.813231936558,437.76109458185,1147.34124371522,639.534435297253,713.596116819097,588.866526518601,820.056715961098,971.497382215645,549.728758729849,602.332609462123,575.258659840979,440.825011402429,1229.42843883375,518.505133853318,288.536085517185,708.812452206846,580.269394049605,375.60316415075,654.503136851109,595.928489048973,1528.30605944085,-1,1157.17357803584,86.805535052222,238.662896454793,205.559782592151,690.014040814663,1429.9424548964,241.353462856541,1301.17165859822,178.220161238955,368.765822847224,95.1828811224323,364.841529982447,219.644107529842,283.681427752287,741.128047013742,1529.52485705064,568.983881884054
"16",1689.33201327184,1130.78141253938,3048.12881149419,1710.47295219098,1776.1937140357,1506.51882234945,2193.98338604222,2593.45559382953,1387.16349621392,1571.2592215929,1537.24718104993,1134.37406986293,3267.833952291,1348.94943494383,708.812452206846,1868.1662445926,1446.72046368113,1006.53812192771,1682.76024259835,1586.10882897974,4129.57325257349,-1,3193.63186750343,199.365320905863,625.241640270195,485.818741380072,1866.58373622045,3864.59479365173,628.655444966933,3355.28568764318,430.909888982055,974.293627051543,207.284917000923,897.983874572533,528.267231341287,676.850430042467,2000.2541410745,4218.77045121247,1506.26292029692
"17",1338.62712075054,889.684846336695,2345.69651871188,1309.24704962235,1439.10856687074,1194.4325369954,1678.9906452748,1988.11473141431,1111.89574063895,1226.75978884695,1177.4982890939,895.189706159849,2513.79337881649,1055.38434737392,580.269394049605,1446.72046368113,1170.62386885927,769.230348562045,1328.99466361141,1218.75301571857,3135.45456356643,-1,2384.36631631687,172.071288346679,486.478578547001,409.86885899249,1415.93777708245,2933.63671348953,491.37938832646,2643.62118645281,357.217659466765,752.965047670421,186.461969787382,734.109384488806,439.699157188662,566.92721890153,1520.06961433463,3151.24298956719,1162.38710741365
"18",903.639947722274,606.425882192328,1645.42128417314,925.216184206486,944.012881869909,805.868725959208,1186.57739808301,1401.93181883261,739.436277954708,844.40262041907,831.179250011358,607.819403721397,1764.1968960688,724.61047702291,375.60316415075,1006.53812192771,769.230348562045,544.795169433178,901.0862419415,856.849798980785,2239.31988038455,-1,1742.00152525078,104.137517366807,336.504265414838,255.484726251667,1012.59155633007,2096.2945230813,337.828014514033,1798.17766482714,227.536683613581,525.598695866523,107.142749822846,475.836419641494,278.699156898596,356.443916597045,1084.58576481041,2300.6632824191,812.459614571886
"19",1537.6049732168,1025.75750615691,2737.87003644617,1532.42655040442,1632.63923533168,1371.43306042417,1965.58330077519,2325.23334538479,1269.0888213817,1420.5654305164,1377.78199739799,1030.38532147779,2934.72113143574,1220.61741305521,654.503136851109,1682.76024259835,1328.99466361141,901.0862419415,1529.29849447439,1423.53388486995,3686.23640638304,-1,2828.47592700646,188.362904694367,564.315687758881,454.344490990319,1665.4349603466,3449.03633672561,568.591204211896,3045.88148639143,400.099198780638,876.589590298364,199.295116696059,828.827643106468,491.288850956781,631.21480137842,1786.09964988307,3737.30683986638,1354.6132452799
"20",1428.19769968476,957.417050283167,2590.84626035659,1455.57435517462,1495.93736984215,1273.64862336741,1866.89784394242,2206.16743209122,1170.34413082172,1332.01686028296,1307.86545117732,959.960837877665,2777.75850081391,1143.2436325039,595.928489048973,1586.10882897974,1218.75301571857,856.849798980785,1423.53388486995,1348.73224283915,3519.37168882002,-1,2731.07595019787,166.199562577926,530.484389858478,406.610193111783,1591.13313120445,3294.10178110608,532.908103250463,2839.78506382208,361.52715815319,827.768535589445,171.741164030988,754.979876242872,442.978464522875,566.971995386503,1704.58376460329,3607.28554605396,1279.68797003752
"21",3694.83590605858,2482.2041833427,6756.99422332552,3802.27575181314,3847.10375225077,3294.83612434343,4876.62123145486,5760.26692295524,3018.25687846703,3460.21773395632,3415.49739996368,2486.80853335937,7245.17190712786,2968.41495651415,1528.30605944085,4129.57325257349,3135.45456356643,2239.31988038455,3686.23640638304,3519.37168882002,9213.53350352081,-1,7183.97764927444,420.329102131726,1379.55622553678,1035.00602333187,4166.69236488809,8625.11390114848,1384.07230670394,7358.85420076838,924.02650296132,2156.85991902575,429.82668740895,1936.50239648021,1131.20834141984,1445.38978581546,4461.74062305812,9487.37098527406,3335.01306528233
"22",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"23",2831.15562947714,1908.47671054295,5238.16158465895,2955.42630183593,2923.90679834559,2524.8933510004,3789.60232680285,4473.55211151168,2302.49601136453,2667.25490915927,2653.30958765819,1909.90654489716,5617.28400775353,2286.99356981782,1157.17357803584,3193.63186750343,2384.36631631687,1742.00152525078,2828.47592700646,2731.07595019787,7183.97764927444,-1,5643.47332071188,312.502657242109,1065.49531622738,776.376446686037,3250.5661206572,6728.2209858741,1066.90064991988,5652.68475631623,696.481912219678,1670.9162594213,315.378044893057,1465.97769422466,851.801738213334,1085.85747364392,3478.7112696443,7450.78845398035,2582.83412850621
"24",190.602929283803,125.569795622464,320.287404823201,177.587924374591,211.919457758649,170.347387718704,227.519859810089,270.130900356688,161.008519781057,171.031625499464,159.781657442155,126.919030758355,343.022852469402,147.693717418419,86.805535052222,199.365320905863,172.071288346679,104.137517366807,188.362904694367,166.199562577926,420.329102131726,-1,312.502657242109,27.959595959596,67.5639118681661,64.5249772009282,189.62074569008,393.467468763496,68.6780368327382,373.595416877284,54.4485340658782,103.647441310357,32.5105793734542,109.402915023115,67.5508562466324,87.9447958790392,204.148978686329,413.217870409525,159.393614605357
"25",566.710146024418,379.110723962757,1019.48156172595,571.879466989896,597.349838853423,505.444948251304,733.444708704301,867.148831008488,465.920216180956,526.304869749536,513.958336906851,380.440377667204,1092.91103882878,451.973560596973,238.662896454793,625.241640270195,486.478578547001,336.504265414838,564.315687758881,530.484389858478,1379.55622553678,-1,1065.49531622738,67.5639118681661,209.399869205508,164.188047706144,623.551296700657,1291.16586948717,210.630778410621,1124.94365968281,145.312738712073,326.117461647843,70.609980492451,302.267713467031,178.231807690847,228.528000685807,668.351320192318,1407.52019670394,503.9483387987
"26",458.986567284104,303.379033798497,783.139292902057,435.353095673512,504.469633799869,410.010776952852,557.922396525845,661.763085974209,385.446909969659,414.997838941802,391.614446213824,306.150511890598,838.921029518138,357.910937171289,205.559782592151,485.818741380072,409.86885899249,255.484726251667,454.344490990319,406.610193111783,1035.00602333187,-1,776.376446686037,64.5249772009282,164.188047706144,150.395628502627,467.113962116597,968.76789145184,166.506851161061,902.130641098119,128.147365146024,252.722575438859,73.5640079434094,259.354505752801,158.609499316553,205.861781795371,502.370570378548,1026.37026109035,389.128622788966
"27",1669.18478174184,1121.62448263237,3054.59580877398,1719.21631411614,1737.25539080872,1488.51360547383,2204.89709806586,2604.34179457843,1363.2021814258,1563.73426597231,1544.25044356569,1123.6399058142,3275.29825596549,1341.46927892107,690.014040814663,1866.58373622045,1415.93777708245,1012.59155633007,1665.4349603466,1591.13313120445,4166.69236488809,-1,3250.5661206572,189.62074569008,623.551296700657,467.113962116597,1884.42061427647,3900.81338730762,625.513750797766,3324.94124258424,417.103365829137,975.090496080596,193.798150118461,874.26526597433,510.605240304075,652.344964481438,2017.81055496564,4292.6736702583,1507.56984844604
"28",3456.95121416363,2322.82558717007,6323.7149885281,3559.14872324516,3599.43058902402,3082.89049820746,4564.44354706896,5391.49642300523,2823.78368044215,3237.90827956159,3196.86437406887,2327.11763294196,6780.56332102527,2777.84641451884,1429.9424548964,3864.59479365173,2933.63671348953,2096.2945230813,3449.03633672561,3294.10178110608,8625.11390114848,-1,6728.2209858741,393.467468763496,1291.16586948717,968.76789145184,3900.81338730762,8075.04890039308,1295.28914051176,6885.64724793468,864.620359939946,2018.99049943421,402.612328695419,1811.6087468601,1058.56950274561,1352.60142637991,4177.07533702305,8885.17520264323,3121.16448066702
"29",571.210048013684,381.801020060462,1024.37100080458,574.245157718441,603.453658047271,509.466908045349,736.498034376681,870.911055747716,470.18356709823,529.642094332619,516.145174684316,383.257758619221,1098.11231630827,454.919735771886,241.353462856541,628.655444966933,491.37938832646,337.828014514033,568.591204211896,532.908103250463,1384.07230670394,-1,1066.90064991988,68.6780368327382,210.630778410621,166.506851161061,625.513750797766,1295.28914051176,211.977024508353,1133.15879971245,147.134273356071,327.779416551898,72.0520065519421,305.660248995256,180.529101261366,231.620159923998,670.571502804944,1409.47300771994,506.507079819887
"30",3061.8388437809,2043.5216662596,5461.04482373978,3057.73526229401,3247.38766994257,2730.94549305236,3921.97495817921,4639.15850889589,2525.58756384309,2831.15568752222,2748.97611214218,2052.41469423997,5853.80540480163,2432.45136931687,1301.17165859822,3355.28568764318,2643.62118645281,1798.17766482714,3045.88148639143,2839.78506382208,7358.85420076838,-1,5652.68475631623,373.595416877284,1124.94365968281,902.130641098119,3324.94124258424,6885.64724793468,1133.15879971245,6067.35172903036,794.92575912143,1748.18788405502,394.68445025892,1647.73380968787,975.976301496419,1253.57842509554,3565.49641207455,7468.69519498108,2701.54484671469
"31",403.712864067519,267.369659825366,696.241084134009,387.569119956886,439.450179930839,360.401338584276,496.882058283347,588.946939921633,337.457528394805,367.019374109461,348.652755062851,269.476409562919,745.962551960154,316.163239625249,178.220161238955,430.909888982055,357.217659466765,227.536683613581,400.099198780638,361.52715815319,924.02650296132,-1,696.481912219678,54.4485340658782,145.312738712073,128.147365146024,417.103365829137,864.620359939946,147.134273356071,794.92575912143,110.478340372394,224.128687667397,60.4419408467094,225.207680167413,136.341020803479,176.408686957683,448.252583943022,920.685715135666,345.565571982434
"32",879.829785010067,589.350705135271,1590.18665897421,892.949249010196,924.371521788097,784.721990466231,1145.13733374853,1353.54580697299,722.074463174813,819.045900564313,802.343216536244,591.152585616424,1704.80976079948,703.208923950845,368.765822847224,974.293627051543,752.965047670421,525.598695866523,876.589590298364,827.768535589445,2156.85991902575,-1,1670.9162594213,103.647441310357,326.117461647843,252.722575438859,975.090496080596,2018.99049943421,327.779416551898,1748.18788405502,224.128687667397,508.505289505995,107.76078964365,467.039701933165,274.780717065421,352.003898398054,1044.88718118047,2207.02934262429,785.738245867218
"33",202.228490598003,132.590059979846,331.106346029148,182.921078570804,229.905188215964,181.003122118754,234.150563442046,278.492260945167,172.686595481201,179.10348868394,164.5741905862,134.410555509548,354.461111829123,155.089665098724,95.1828811224323,207.284917000923,186.461969787382,107.142749822846,199.295116696059,171.741164030988,429.82668740895,-1,315.378044893057,32.5105793734542,70.609980492451,73.5640079434094,193.798150118461,402.612328695419,72.0520065519421,394.68445025892,60.4419408467094,107.76078964365,40.075515816053,119.554817078748,75.4876211646137,98.9647175724624,209.033856720298,417.121427137942,165.227696023577
"34",835.498316951621,554.301240238874,1453.76159950947,810.241577960475,902.755090765227,745.560276906887,1039.07999713401,1230.8994371632,695.834572387419,762.966683773108,728.879667637943,558.120869238715,1557.80225483227,656.673105513685,364.841529982447,897.983874572533,734.109384488806,475.836419641494,828.827643106468,754.979876242872,1936.50239648021,-1,1465.97769422466,109.402915023115,302.267713467031,259.354505752801,874.26526597433,1811.6087468601,305.660248995256,1647.73380968787,225.207680167413,467.039701933165,119.554817078748,461.471398724729,277.442258075176,358.210800938544,938.961143584746,1937.76662278253,720.873262416454
"35",495.856523304781,328.257059895657,853.10723335242,474.759437592217,540.979452911133,442.734009124856,608.604699274509,721.484957771543,414.926637582546,450.233519940277,427.076112087885,330.938744935468,913.994981668121,387.954683051957,219.644107529842,528.267231341287,439.699157188662,278.699156898596,491.288850956781,442.978464522875,1131.20834141984,-1,851.801738213334,67.5508562466324,178.231807690847,158.609499316553,510.605240304075,1058.56950274561,180.529101261366,975.976301496419,136.341020803479,274.780717065421,75.4876211646137,277.442258075176,168.383014756457,218.031409646242,548.826843124614,1126.01855322973,423.528082468378
"36",637.373009902856,421.561349157616,1092.07245104177,607.322684449967,697.638515356099,569.169048817144,778.485381934395,923.113268490965,534.221308081317,577.530373762276,546.358633012808,425.191689120171,1169.94562254666,497.816791618523,283.681427752287,676.850430042467,566.92721890153,356.443916597045,631.21480137842,566.971995386503,1445.38978581546,-1,1085.85747364392,87.9447958790392,228.528000685807,205.861781795371,652.344964481438,1352.60142637991,231.620159923998,1253.57842509554,176.408686957683,352.003898398054,98.9647175724624,358.210800938544,218.031409646242,282.586057737849,701.368260123834,1435.50718266102,542.386212080939
"37",1790.36250814356,1202.72355793443,3272.52185761868,1841.53345246805,1865.12044736859,1596.62012343224,2361.71362160751,2789.75752295937,1462.86126079941,1676.25820965446,1654.14707054321,1205.03274870844,3508.91187977057,1438.13257825672,741.128047013742,2000.2541410745,1520.06961433463,1084.58576481041,1786.09964988307,1704.58376460329,4461.74062305812,-1,3478.7112696443,204.148978686329,668.351320192318,502.370570378548,2017.81055496564,4177.07533702305,670.571502804944,3565.49641207455,448.252583943022,1044.88718118047,209.033856720298,938.961143584746,548.826843124614,701.368260123834,2160.80483424618,4594.01153063069,1615.31146193291
"38",3741.01138636483,2521.48031611879,6919.10103424294,3903.39253662922,3864.38171120386,3336.27208439584,5005.26070538943,5908.70872701094,3042.8403957165,3523.78683163597,3504.48101135934,2523.44425373079,7419.87012018946,3021.41362453152,1529.52485705064,4218.77045121247,3151.24298956719,2300.6632824191,3737.30683986638,3607.28554605396,9487.37098527406,-1,7450.78845398035,413.217870409525,1407.52019670394,1026.37026109035,4292.6736702583,8885.17520264323,1409.47300771994,7468.69519498108,920.685715135666,2207.02934262429,417.121427137942,1937.76662278253,1126.01855322973,1435.50718266102,4594.01153063069,9837.04884837261,3411.75172744569
"39",1359.53037634641,910.591411640592,2458.87666550097,1380.46853595774,1426.95113817543,1212.38544566631,1770.67978838316,2092.8000786242,1115.32899124543,1266.03360678149,1240.56370344426,913.269841007392,2636.18515778955,1086.75476153122,568.983881884054,1506.26292029692,1162.38710741365,812.459614571886,1354.6132452799,1279.68797003752,3335.01306528233,-1,2582.83412850621,159.393614605357,503.9483387987,389.128622788966,1507.56984844604,3121.16448066702,506.507079819887,2701.54484671469,345.565571982434,785.738245867218,165.227696023577,720.873262416454,423.528082468378,542.386212080939,1615.31146193291,3411.75172744569,1214.81566895991
